upl,anio,temperatura_media_c,densidad_arbolado_media,poblacion,densidad_poblacional,pm25_media,estrato_medio,proporcion_estrato_1_2,vulnerabilidad_socioeconomica
UPL13,2023,15.399528678201296,29.256119999999996,341916,26629.623741269235,18.5286526563186,2.567332112584627,0.4696869407221878,-2.567332112584627
UPL30,2023,15.357860559999999,58.494366,202262,12823.873042412126,15.408743690597614,3.7287185772937192,0.01446254661659205,-3.7287185772937192
UPL22,2023,15.146934084775658,15.561386500000001,203634,18949.01377139451,14.848105543286039,2.983075443014721,0.01692455698527874,-2.983075443014721
UPL31,2023,15.424244570183793,25.547420000000002,249697,14435.59537899987,14.609792107110861,2.9937417978669245,0.006258202133075849,-2.9937417978669245
UPL32,2023,15.423518485335814,5.8306625,154555,10898.113774676704,14.22020975,3.888827026048898,0.0,-3.888827026048898
UPL25,2023,14.709228741640748,20.591402000000002,251030,13610.885880449929,12.285096672544812,5.122285374665761,0.010610771182286203,-5.122285374665761
UPL27,2023,15.121264140267268,76.0949365,176459,10734.90186900811,12.611643572865221,4.649398580212815,0.004957952267193823,-4.649398580212815
UPL18,2023,16.001601797960554,18.122095,276441,19867.950179675474,18.30885621806888,2.949379052451957,0.10576280521229378,-2.949379052451957
UPL33,2023,15.36987444610423,6.758672499999999,136020,11436.09524986293,14.173813646661307,3.4096443644669745,0.0,-3.4096443644669745
UPL29,2023,15.357860559999999,24.0263225,348064,23200.802955219526,14.22020975,2.971342041886171,0.04284709186817783,-2.971342041886171
UPL12,2023,15.357860559999997,10.136482,229024,10441.277645126107,17.930969976027185,2.6369067800159653,0.36346227668063924,-2.6369067800159653
UPL17,2023,15.357860559999999,12.8356615,334720,30188.892059722435,18.96335508831696,2.1345818449686247,0.8650075880437812,-2.1345818449686247
UPL15,2023,15.35786056,41.6443675,306788,27421.266391262863,18.839758927771868,1.662712794129846,1.0,-1.662712794129846
UPL26,2023,14.887971749404821,47.2096155,299307,24062.39423228568,12.496149386420718,2.9894239870047263,0.21963061702120124,-2.9894239870047263
UPL03,2023,15.080845330549066,19.67279,415106,24304.451944635628,17.21734702501192,1.8283924209702918,0.782416134833404,-1.8283924209702918
UPL16,2023,15.357860559999999,12.5016945,299638,44217.09958502417,19.792964122927298,1.9779639090275276,0.9973550129907534,-1.9779639090275276
UPL11,2023,15.357860559999999,38.865953499999996,436309,26607.882740495686,14.885747331277734,2.679202639191629,0.3630998561697062,-2.679202639191629
UPL14,2023,15.358962633344365,13.841143500000001,286447,43133.00545883913,20.6552716,1.9790200043290196,0.9913993072528546,-1.9790200043290196
UPL28,2023,15.321490420607406,39.7999535,277011,39041.98172519552,13.537844673174519,2.4767966199977534,0.6176292948252248,-2.4767966199977534
UPL10,2023,15.304113088278571,23.581398,291017,40376.52546293374,14.22020975,2.176075142926713,0.8239248570732869,-2.176075142926713
UPL19,2023,15.400120254360758,77.73344800000001,175922,17998.20831634998,16.682396842117573,2.39426114799545,0.6024632479041004,-2.39426114799545
UPL02,2023,15.356851946822493,0.0,19354,70.47968642123149,14.180482191659213,1.3450392926713164,1.0,-1.3450392926713164
UPL07,2023,15.275750573898694,1.3986315,105614,1962.3784878377824,14.22020975,5.065617692559956,0.16078653964393666,-5.065617692559956
UPL01,2023,,0.0,3259,4.176334283102942,,,0.0,
UPL08,2023,15.062326927367726,47.947134,250264,15914.52835589592,12.154009354447519,4.211587149539836,0.014939923012419549,-4.211587149539836
UPL05,2023,15.208517271820734,14.617545,293432,16637.424707306767,13.513351871776191,1.4575318215241682,1.0,-1.4575318215241682
UPL20,2023,15.152831114584426,28.898263,424425,21457.038597486193,13.035315407521374,1.7428721944412575,0.9578680677402203,-1.7428721944412575
UPL04,2023,15.260422149488969,15.616530999999998,248319,18854.957145601224,14.323482173758123,1.162975679268665,1.0,-1.162975679268665
UPL24,2023,15.55857817221661,28.5300515,161008,15363.652594320194,13.691374302434996,4.9743612516553695,0.04950389275069499,-4.9743612516553695
UPL23,2023,15.220744519629658,8.0219135,203404,13042.685102799582,13.695620643352214,2.662961878072574,0.3634940455978107,-2.662961878072574
UPL21,2023,14.617653914807216,16.699313500000002,305707,23399.89314783428,12.56122895485775,2.152633024470269,0.7695729483409572,-2.152633024470269
UPL06,2023,15.137405952569933,0.0,2612,18.634211079729234,13.289953053678973,3.5701517592292182,0.5469039966375242,-3.5701517592292182
UPL09,2023,14.96449727975518,52.093649,175163,26865.79701302217,13.380793951214253,3.200676723379954,0.244690714017179,-3.200676723379954
UPL13,2024,15.744208101868242,28.0179565,349661,27232.831651621866,18.542849254801585,2.567332112584627,0.4696869407221878,-2.567332112584627
UPL30,2024,15.541485324145604,63.307877,203650,12911.875414498174,16.823084013911632,3.7287185772937192,0.01446254661659205,-3.7287185772937192
UPL22,2024,15.672425454357125,16.0847215,201150,18717.866957954004,16.05736804228303,2.983075443014721,0.01692455698527874,-2.983075443014721
UPL31,2024,16.007797351812,25.742215,249697,14435.59537899987,16.565836274291446,2.9937417978669245,0.006258202133075849,-2.9937417978669245
UPL32,2024,15.528316052234366,7.575903500000001,155013,10930.408660696581,14.973126309999998,3.888827026048898,0.0,-3.888827026048898
UPL25,2024,15.106262359304672,18.4831635,247931,13442.857615527351,14.973126310000001,5.122285374665761,0.010610771182286203,-5.122285374665761
UPL27,2024,15.592478181871545,69.5151805,171062,10406.574805004366,14.958438287108107,4.649398580212815,0.004957952267193823,-4.649398580212815
UPL18,2024,16.20992786637662,21.2497745,271096,19483.802409589396,21.738541238184315,2.949379052451957,0.10576280521229378,-2.949379052451957
