termino,coeficiente_estandarizado,r2,n
intercepto,-0.0,0.130999,64
vulnerabilidad_socioeconomica,-0.245622,0.130999,64
pm25_media,-0.238821,0.130999,64
temperatura_media_c,0.16664,0.130999,64
densidad_poblacional,0.383244,0.130999,64
